46.5;45.78;44.14;42.51;42.37;45.72;53.02;65.71;66.35;66.92;67.04;67.5;65.81;65.46;63;60.89;59.72;63.58;71.19;70.41;65.09;56.18;53.02;51.57
47.08;46.25;44.95;43.86;43.58;46.9;50.36;66.25;68.09;67.5;67.13;65.91;64.49;63.06;58.57;54.93;55.22;61.55;69.91;66.19;54.6;47.63;49.44;48.07
53.46;49.72;45.66;44.93;44.08;43.91;44.03;44.94;49.8;52.64;53.61;54.63;54.62;51.33;49.08;48.04;48.92;60.22;64.67;61.97;53.19;48.97;49.58;48.87
47.83;46.82;44.43;42.44;41.47;41.55;37.63;36.75;42.91;47.23;52.13;53.96;55;49.96;46.68;45.32;48.31;57.95;65.05;67.93;62.93;56.19;60.67;55.97
49.15;45.54;43.94;41.55;42.54;47.87;58.77;70.74;70.99;70.94;68.9;68.4;67.98;66.13;64.49;61.93;60.43;63.99;75.26;72.73;67.48;55.21;56.12;52.43
47.44;47.74;44.99;44.19;43.7;46.28;55.61;68.14;69.53;68.64;67.67;67.05;64.04;62.3;60.33;57.95;54.42;62.05;73.28;71.55;65.71;53.31;52.45;49.72
47.85;46.27;45.73;44.21;44.18;45.19;52.33;67.04;67.9;66.27;63.76;62.31;61.2;56.2;53.03;50.05;49.92;58.96;68.28;68.63;65.65;55.14;53.2;49.05
48.56;47.94;46.21;45.12;45.47;49.8;62.65;66.48;67.25;66.41;65.74;65.02;64.06;61.8;57.31;55.02;54.33;62.07;71.33;73.17;65.76;61.2;61.97;54.25
51.4;50;49.06;47.44;49.12;49.91;62.94;70.89;71.84;69.93;67.82;65.65;64.57;62.34;56.83;53.05;52.2;61.19;70.06;73.97;66.01;57.92;57.66;53.63
49.37;43.98;44.96;45.24;44.94;46.32;44.93;46.73;52.98;56.49;57.62;55.02;45.15;41.69;39.55;41.63;42.83;47.73;63.85;64.28;53.78;46.68;45.16;40.98
43.08;41.95;41.98;41.7;42.85;42.9;42.67;42.73;43.24;46.28;49.17;48.27;43.66;38.04;36.79;39.47;41.38;45.31;61.85;65.84;62.3;56.18;56.16;46.39
49.4;47.58;45.95;43.93;43.93;47.14;63;65.92;67.04;65.34;64.28;61.26;55.23;55.24;51.55;49.5;50.14;59.63;71.09;82.12;66.04;54.93;51.77;45.87
45.94;43.96;44.94;43.99;44.08;46.37;50.28;64.02;64.14;61.45;57.05;55.38;53.97;53.56;53.08;50;49.8;53.74;64.99;65.9;59.9;51.77;49.15;45
47.44;44.93;43.87;43;42.62;46.87;59.51;63.82;63.09;57.28;53.84;48.43;45.6;44.92;46.38;48.09;51.13;56.78;69.38;78;73.33;63.05;65.07;56.29
47.59;44.6;43.81;43.09;43.03;47.58;56.19;64.39;63.54;62.01;60.17;53.9;49.38;47.61;45.96;46.5;46.46;47.63;57.07;56.77;48.06;47.04;45.5;38.97
26.72;27.73;28.57;41.51;43.46;49.38;58.12;63.04;64.83;63.02;61.69;60.99;56.76;56.79;54.15;53.03;49.05;56.37;67.63;74.28;67.5;60.84;62.71;57.57
56;54.03;49.93;46.8;46.95;47.67;48.65;50.23;54.8;56.36;55;54.39;54.41;50.02;48.2;47.63;48.5;58.44;63.04;64.79;59.93;54.34;56.44;52.63
48.28;47.27;44.37;41.96;41.46;41.92;38.22;40.43;44.96;49.94;52.89;54.93;55.12;52.06;47.99;46.3;46.15;51.4;61.81;66.52;63.97;58.73;60.85;56.19
49.73;47.66;44.84;41.95;42.07;45.94;63.62;64.91;69.72;70.33;67.17;66.42;65.61;65.15;63.67;62.91;61.19;61.99;67.66;77.08;63.99;55.02;54.31;48.18
49.02;46.2;43.95;42.83;43.9;46.06;54.48;64.76;65.99;64.56;62.54;61.2;57.04;53.34;49.74;48.28;47.16;51.55;64.23;66.95;61.53;48.8;49.93;47.86
43.96;41.08;33.65;23.39;34.93;45;50.55;62.21;66.39;66.08;65;64.38;61.94;58.87;54.91;51.81;51.08;52.57;63.28;67.09;63.46;52.6;51.69;45.82
42.94;37.04;33.33;29.41;33.41;43.04;49.93;57.81;63.62;64.01;65.99;68.12;67.5;68.02;65.39;60.58;58.14;61.91;69.6;74.28;68.58;57.55;54.81;49.93
51.86;50.5;47.53;44.48;45.12;49.9;65.99;72.08;72.35;72.1;71.93;71.73;70.17;68;60.98;57.54;53.86;57.6;68.02;70.35;64.1;54.09;55.12;51.37
48.04;45.99;44.02;43;39.95;39.93;38.22;42.05;47.89;52.73;52.79;53.03;52.54;49.84;46.95;44.76;45.31;49.81;66.03;71.99;60.89;52.06;52.79;50.46
53.2;50.15;44.37;42.85;39.93;41.65;35.09;33.55;43.18;48.5;51.1;52.1;51.12;43.02;37.23;33.71;42.59;44.87;59.39;69;62.98;54.1;55.9;49.96
49.17;45.54;41.98;36.68;39.18;42.97;53.83;67.38;68.47;68.3;65.42;64.93;59.07;56.82;54.09;53.03;52.22;56.76;67.42;77.1;65.41;56.2;53.02;50.07
47.45;47.16;44.76;42.96;44.92;49.94;57.06;67.49;68.53;66.89;62.16;59.96;56.81;53.21;50.92;50.25;49.85;54.07;64;72.18;67.03;55.04;53.41;50.4
48.73;47.08;45.05;44.8;47.18;48.51;53.28;66.12;66.88;66.12;63.31;62.06;60.59;54.27;52.18;52.18;52.61;61.91;66.2;69.83;63.92;52.34;51.3;48.03
46.91;44.98;43;41.98;43.37;47.01;53.52;63.93;65.6;63.62;60.01;59.19;54.09;51.85;50.09;50.01;49.47;55.44;65.61;71.97;65.34;60.73;59.92;53.12
49.18;49.05;45;44.28;45;49.5;57.7;65.99;66.71;65.09;63.08;59.35;56.19;52.6;50.05;48.9;48.85;52.03;64.38;65.83;59.77;52.18;54.85;53.29
54.47;50.34;47.07;46.39;46.75;47.68;48.73;50.89;53.34;56.01;59.04;60.08;61.27;57.61;51.98;51.05;50.96;57.75;64.65;65.19;63.13;57.43;61.19;55
48.08;42.5;40.09;43.1;43.61;37.94;42.44;48.05;49.75;50;57.94;55.65;49.3;47.03;46.28;45.81;44.8;51.16;61.36;63.91;58.02;58.98;48.94;43.98
40.22;38.96;42.45;44.74;48.74;62.95;69.05;69.81;66.03;65.9;65.74;60.91;56.67;53.23;50.23;50.57;56.76;64.36;71.98;73.85;69.65;64.1;49.66;47.8
48.42;45.54;43.44;46;48.07;57.64;65.9;67.92;66.75;64.96;64.55;60.12;56.19;53.7;52.49;51.73;55.25;63.55;64.67;64.93;61.95;56.19;52.07;49.72
46.17;44.89;45.01;46.41;49.66;60;66.88;69.14;66.92;66.07;65.86;64.98;64.44;62.71;58.97;53.43;63.99;64.51;65.06;64.98;56.08;52.53;50.15;45.91
44.41;41;36.44;39.9;45.82;55.45;64.59;65.5;65;64.1;63.68;63.18;59.92;56.87;53.56;49.8;47.4;50;57.36;63.09;53.98;52.46;46.67;41.86
34.95;34.02;32.68;37.01;44.85;59.55;63.05;65.91;66.07;65.28;64.36;63.35;62.38;58;53.28;50.47;54.81;61.61;62.65;62.9;60.69;57.34;55.37;53.87
